y time id
1 10 39
0 11 39
2 12 39
0 13 39
0 14 39
0 15 39
3 1 40
2 2 40
2 3 40
2 4 40
2 5 40
2 6 40
1 7 40
2 8 40
1 9 40
1 10 40
1 11 40
2 12 40
2 13 40
1 14 40
2 15 40
1 1 41
1 2 41
2 3 41
0 4 41
0 5 41
1 6 41
0 7 41
1 8 41
1 9 41
1 10 41
0 11 41
0 12 41
1 13 41
0 14 41
0 15 41
0 1 42
1 2 42
1 3 42
1 4 42
2 5 42
2 6 42
1 7 42
1 8 42
2 9 42
0 10 42
2 11 42
1 12 42
1 13 42
1 14 42
3 15 42
0 1 43
0 2 43
0 3 43
1 4 43
0 5 43
0 6 43
0 7 43
1 8 43
1 9 43
0 10 43
0 11 43
1 12 43
0 13 43
0 14 43
0 15 43
2 1 44
0 2 44
2 3 44
1 4 44
3 5 44
1 6 44
1 7 44
1 8 44
2 9 44
2 10 44
2 11 44
0 12 44
2 13 44
2 14 44
2 15 44
0 1 45
0 2 45
0 3 45
0 4 45
3 5 45
2 6 45
0 7 45
0 8 45
0 9 45
0 10 45
0 11 45
0 12 45
0 13 45
2 14 45
0 15 45
1 1 46
1 2 46
2 3 46
0 4 46
2 5 46
0 6 46
0 7 46
2 8 46
0 9 46
1 10 46
1 11 46
1 12 46
1 13 46
2 14 46
0 15 46
0 1 47
2 2 47
2 3 47
1 4 47
1 5 47
1 6 47
1 7 47
0 8 47
0 9 47
2 10 47
3 11 47
0 12 47
1 13 47
1 14 47
0 15 47
4 1 48
2 2 48
0 3 48
1 4 48
1 5 48
0 6 48
1 7 48
1 8 48
2 9 48
1 10 48
1 11 48
1 12 48
0 13 48
1 14 48
2 15 48
0 1 49
0 2 49
1 3 49
0 4 49
0 5 49
0 6 49
1 7 49
0 8 49
1 9 49
0 10 49
0 11 49
0 12 49
0 13 49
2 14 49
0 15 49
0 1 50
0 2 50
0 3 50
0 4 50
0 5 50
1 6 50
0 7 50
0 8 50
0 9 50
0 10 50
0 11 50
0 12 50
0 13 50
0 14 50
0 15 50
3 1 51
0 2 51
1 3 51
1 4 51
1 5 51
0 6 51
1 7 51
1 8 51
1 9 51
1 10 51
1 11 51
0 12 51
1 13 51
1 14 51
1 15 51
0 1 52
1 2 52
0 3 52
0 4 52
0 5 52
0 6 52
1 7 52
1 8 52
0 9 52
0 10 52
0 11 52
0 12 52
0 13 52
0 14 52
0 15 52
4 1 53
4 2 53
4 3 53
0 4 53
1 5 53
0 6 53
2 7 53
1 8 53
1 9 53
0 10 53
0 11 53
0 12 53
1 13 53
1 14 53
2 15 53
2 1 54
2 2 54
2 3 54
3 4 54
0 5 54
2 6 54
1 7 54
2 8 54
2 9 54
1 10 54
2 11 54
1 12 54
2 13 54
2 14 54
2 15 54
1 1 55
2 2 55
3 3 55
2 4 55
2 5 55
2 6 55
1 7 55
1 8 55
1 9 55
1 10 55
2 11 55
1 12 55
2 13 55
0 14 55
1 15 55
0 1 56
2 2 56
3 3 56
2 4 56
6 5 56
2 6 56
3 7 56
1 8 56
3 9 56
2 10 56
1 11 56
2 12 56
1 13 56
1 14 56
2 15 56
2 1 57
1 2 57
2 3 57
3 4 57
2 5 57
2 6 57
2 7 57
2 8 57
1 9 57
1 10 57
2 11 57
2 12 57
2 13 57
3 14 57
3 15 57
2 1 58
1 2 58
0 3 58
2 4 58
2 5 58
0 6 58
2 7 58
2 8 58
0 9 58
1 10 58
2 11 58
4 12 58
2 13 58
1 14 58
2 15 58
0 1 59
0 2 59
0 3 59
1 4 59
0 5 59
0 6 59
0 7 59
0 8 59
1 9 59
2 10 59
0 11 59
1 12 59
1 13 59
0 14 59
1 15 59
1 1 60
1 2 60
2 3 60
0 4 60
1 5 60
1 6 60
1 7 60
1 8 60
2 9 60
0 10 60
0 11 60
0 12 60
1 13 60
2 14 60
1 15 60
6 1 61
6 2 61
4 3 61
5 4 61
10 5 61
0 6 61
2 7 61
0 8 61
1 9 61
1 10 61
1 11 61
3 12 61
2 13 61
2 14 61
0 15 61
0 1 62
0 2 62
0 3 62
0 4 62
0 5 62
0 6 62
0 7 62
0 8 62
0 9 62
1 10 62
1 11 62
0 12 62
0 13 62
0 14 62
0 15 62
0 1 63
0 2 63
0 3 63
0 4 63
0 5 63
1 6 63
0 7 63
0 8 63
0 9 63
0 10 63
0 11 63
3 12 63
0 13 63
1 14 63
0 15 63
3 1 64
2 2 64
1 3 64
1 4 64
1 5 64
1 6 64
1 7 64
2 8 64
2 9 64
2 10 64
1 11 64
2 12 64
1 13 64
2 14 64
1 15 64
1 1 65
1 2 65
1 3 65
1 4 65
2 5 65
1 6 65
1 7 65
2 8 65
0 9 65
3 10 65
2 11 65
3 12 65
3 13 65
2 14 65
3 15 65
0 1 66
2 2 66
3 3 66
3 4 66
3 5 66
0 6 66
3 7 66
3 8 66
2 9 66
2 10 66
2 11 66
3 12 66
0 13 66
2 14 66
2 15 66
10 1 67
9 2 67
9 3 67
8 4 67
9 5 67
8 6 67
4 7 67
5 8 67
6 9 67
6 10 67
4 11 67
3 12 67
7 13 67
3 14 67
9 15 67
0 1 68
0 2 68
0 3 68
0 4 68
0 5 68
0 6 68
0 7 68
0 8 68
1 9 68
0 10 68
0 11 68
1 12 68
0 13 68
0 14 68
0 15 68
2 1 69
2 2 69
1 3 69
1 4 69
2 5 69
0 6 69
0 7 69
0 8 69
1 9 69
1 10 69
0 11 69
2 12 69
2 13 69
0 14 69
0 15 69
3 1 70
4 2 70
3 3 70
3 4 70
3 5 70
3 6 70
2 7 70
3 8 70
2 9 70
2 10 70
2 11 70
3 12 70
3 13 70
3 14 70
3 15 70
0 1 71
1 2 71
2 3 71
1 4 71
0 5 71
3 6 71
2 7 71
1 8 71
0 9 71
2 10 71
2 11 71
2 12 71
3 13 71
0 14 71
0 15 71
3 1 72
2 2 72
3 3 72
1 4 72
2 5 72
1 6 72
2 7 72
2 8 72
1 9 72
3 10 72
1 11 72
2 12 72
2 13 72
2 14 72
1 15 72
1 1 73
0 2 73
0 3 73
1 4 73
1 5 73
0 6 73
0 7 73
1 8 73
0 9 73
0 10 73
1 11 73
0 12 73
0 13 73
0 14 73
0 15 73
4 1 74
0 2 74
0 3 74
1 4 74
3 5 74
1 6 74
2 7 74
1 8 74
2 9 74
5 10 74
4 11 74
4 12 74
1 13 74
2 14 74
1 15 74
1 1 75
2 2 75
1 3 75
1 4 75
2 5 75
2 6 75
1 7 75
1 8 75
2 9 75
2 10 75
2 11 75
1 12 75
1 13 75
1 14 75
2 15 75
2 1 76
4 2 76
2 3 76
0 4 76
0 5 76
0 6 76
2 7 76
3 8 76
0 9 76
0 10 76
1 11 76
0 12 76
1 13 76
1 14 76
1 15 76
1 1 77
2 2 77
1 3 77
5 4 77
2 5 77
6 6 77
4 7 77
6 8 77
5 9 77
4 10 77
3 11 77
1 12 77
1 13 77
1 14 77
1 15 77
6 1 78
2 2 78
3 3 78
4 4 78
0 5 78
1 6 78
1 7 78
3 8 78
1 9 78
4 10 78
4 11 78
3 12 78
3 13 78
0 14 78
4 15 78
0 1 79
0 2 79
0 3 79
0 4 79
0 5 79
0 6 79
0 7 79
0 8 79
0 9 79
0 10 79
0 11 79
0 12 79
0 13 79
0 14 79
0 15 79
0 1 80
0 2 80
0 3 80
0 4 80
0 5 80
0 6 80
0 7 80
0 8 80
0 9 80
0 10 80
0 11 80
0 12 80
0 13 80
0 14 80
0 15 80
1 1 81
2 2 81
1 3 81
3 4 81
3 5 81
3 6 81
1 7 81
3 8 81
1 9 81
1 10 81
3 11 81
3 12 81
0 13 81
1 14 81
3 15 81
8 1 82
7 2 82
6 3 82
5 4 82
6 5 82
7 6 82
5 7 82
9 8 82
6 9 82
9 10 82
6 11 82
9 12 82
8 13 82
9 14 82
9 15 82
0 1 83
0 2 83
0 3 83
0 4 83
0 5 83
0 6 83
0 7 83
2 8 83
0 9 83
1 10 83
0 11 83
0 12 83
1 13 83
0 14 83
1 15 83
15 1 84
7 2 84
11 3 84
5 4 84
8 5 84
7 6 84
6 7 84
5 8 84
9 9 84
6 10 84
5 11 84
5 12 84
8 13 84
6 14 84
11 15 84
1 1 85
0 2 85
0 3 85
1 4 85
0 5 85
1 6 85
1 7 85
1 8 85
0 9 85
0 10 85
2 11 85
0 12 85
2 13 85
4 14 85
2 15 85
1 1 86
0 2 86
1 3 86
2 4 86
1 5 86
2 6 86
2 7 86
2 8 86
1 9 86
2 10 86
2 11 86
2 12 86
1 13 86
1 14 86
1 15 86
3 1 87
3 2 87
1 3 87
1 4 87
2 5 87
0 6 87
1 7 87
1 8 87
1 9 87
0 10 87
0 11 87
1 12 87
3 13 87
1 14 87
3 15 87
1 1 88
1 2 88
2 3 88
1 4 88
0 5 88
0 6 88
0 7 88
0 8 88
1 9 88
1 10 88
1 11 88
1 12 88
1 13 88
0 14 88
1 15 88
1 1 89
0 2 89
1 3 89
1 4 89
2 5 89
1 6 89
0 7 89
0 8 89
1 9 89
1 10 89
2 11 89
1 12 89
2 13 89
2 14 89
2 15 89
6 1 90
3 2 90
4 3 90
3 4 90
2 5 90
4 6 90
3 7 90
2 8 90
1 9 90
4 10 90
3 11 90
6 12 90
4 13 90
2 14 90
2 15 90
1 1 91
0 2 91
0 3 91
1 4 91
2 5 91
1 6 91
1 7 91
1 8 91
0 9 91
0 10 91
0 11 91
0 12 91
0 13 91
1 14 91
0 15 91
1 1 92
1 2 92
1 3 92
2 4 92
2 5 92
2 6 92
1 7 92
2 8 92
1 9 92
2 10 92
2 11 92
1 12 92
1 13 92
1 14 92
1 15 92
6 1 93
2 2 93
4 3 93
2 4 93
1 5 93
1 6 93
4 7 93
4 8 93
4 9 93
1 10 93
2 11 93
1 12 93
2 13 93
2 14 93
2 15 93
3 1 94
4 2 94
3 3 94
1 4 94
2 5 94
2 6 94
2 7 94
2 8 94
2 9 94
1 10 94
1 11 94
2 12 94
3 13 94
2 14 94
2 15 94
1 1 95
2 2 95
0 3 95
0 4 95
0 5 95
0 6 95
0 7 95
1 8 95
2 9 95
2 10 95
1 11 95
4 12 95
0 13 95
1 14 95
1 15 95
7 1 96
1 2 96
4 3 96
4 4 96
4 5 96
3 6 96
2 7 96
5 8 96
5 9 96
5 10 96
9 11 96
5 12 96
5 13 96
4 14 96
4 15 96
2 1 97
2 2 97
2 3 97
1 4 97
2 5 97
3 6 97
3 7 97
2 8 97
1 9 97
1 10 97
1 11 97
2 12 97
2 13 97
2 14 97
2 15 97
5 1 98
6 2 98
5 3 98
3 4 98
4 5 98
3 6 98
1 7 98
1 8 98
1 9 98
2 10 98
0 11 98
3 12 98
0 13 98
1 14 98
2 15 98
0 1 99
0 2 99
0 3 99
1 4 99
1 5 99
0 6 99
0 7 99
2 8 99
1 9 99
1 10 99
1 11 99
0 12 99
0 13 99
0 14 99
0 15 99
2 1 100
1 2 100
0 3 100
1 4 100
0 5 100
0 6 100
1 7 100
1 8 100
1 9 100
2 10 100
1 11 100
1 12 100
2 13 100
1 14 100
3 15 100
0 1 101
0 2 101
0 3 101
0 4 101
0 5 101
0 6 101
0 7 101
0 8 101
0 9 101
0 10 101
0 11 101
1 12 101
0 13 101
0 14 101
0 15 101
1 1 102
0 2 102
0 3 102
0 4 102
0 5 102
0 6 102
1 7 102
0 8 102
0 9 102
0 10 102
0 11 102
0 12 102
0 13 102
0 14 102
0 15 102
0 1 103
5 2 103
6 3 103
0 4 103
1 5 103
0 6 103
2 7 103
1 8 103
2 9 103
1 10 103
2 11 103
0 12 103
0 13 103
1 14 103
1 15 103
2 1 104
2 2 104
0 3 104
1 4 104
2 5 104
1 6 104
3 7 104
4 8 104
3 9 104
5 10 104
4 11 104
6 12 104
4 13 104
2 14 104
2 15 104
0 1 105
1 2 105
0 3 105
1 4 105
0 5 105
0 6 105
0 7 105
1 8 105
2 9 105
0 10 105
0 11 105
1 12 105
0 13 105
0 14 105
0 15 105
3 1 106
3 2 106
1 3 106
2 4 106
2 5 106
1 6 106
2 7 106
3 8 106
1 9 106
1 10 106
1 11 106
1 12 106
1 13 106
1 14 106
2 15 106
1 1 107
0 2 107
1 3 107
0 4 107
0 5 107
0 6 107
1 7 107
0 8 107
0 9 107
0 10 107
0 11 107
0 12 107
0 13 107
0 14 107
0 15 107
1 1 108
1 2 108
1 3 108
1 4 108
0 5 108
0 6 108
1 7 108
0 8 108
0 9 108
0 10 108
1 11 108
0 12 108
0 13 108
3 14 108
0 15 108
2 1 109
5 2 109
2 3 109
2 4 109
2 5 109
2 6 109
1 7 109
0 8 109
0 9 109
1 10 109
2 11 109
1 12 109
0 13 109
0 14 109
0 15 109
3 1 110
4 2 110
2 3 110
1 4 110
3 5 110
1 6 110
0 7 110
2 8 110
2 9 110
2 10 110
2 11 110
1 12 110
2 13 110
1 14 110
1 15 110
2 1 111
3 2 111
2 3 111
1 4 111
1 5 111
1 6 111
1 7 111
1 8 111
1 9 111
1 10 111
0 11 111
0 12 111
1 13 111
0 14 111
0 15 111
2 1 112
2 2 112
3 3 112
1 4 112
2 5 112
1 6 112
2 7 112
2 8 112
1 9 112
3 10 112
2 11 112
2 12 112
2 13 112
2 14 112
2 15 112
5 1 113
2 2 113
4 3 113
3 4 113
8 5 113
3 6 113
4 7 113
4 8 113
4 9 113
1 10 113
3 11 113
2 12 113
2 13 113
14 14 113
7 15 113
1 1 114
1 2 114
0 3 114
2 4 114
0 5 114
1 6 114
1 7 114
1 8 114
1 9 114
0 10 114
2 11 114
1 12 114
0 13 114
2 14 114
1 15 114
0 1 115
2 2 115
0 3 115
0 4 115
1 5 115
2 6 115
1 7 115
1 8 115
3 9 115
1 10 115
4 11 115
1 12 115
0 13 115
0 14 115
3 15 115
2 1 116
2 2 116
2 3 116
2 4 116
2 5 116
3 6 116
2 7 116
3 8 116
2 9 116
2 10 116
2 11 116
1 12 116
4 13 116
2 14 116
2 15 116
1 1 117
1 2 117
0 3 117
1 4 117
0 5 117
0 6 117
0 7 117
1 8 117
0 9 117
2 10 117
0 11 117
4 12 117
1 13 117
1 14 117
0 15 117
2 1 118
0 2 118
0 3 118
1 4 118
2 5 118
2 6 118
2 7 118
0 8 118
0 9 118
1 10 118
2 11 118
2 12 118
2 13 118
2 14 118
2 15 118
2 1 119
0 2 119
0 3 119
2 4 119
0 5 119
1 6 119
2 7 119
1 8 119
2 9 119
0 10 119
2 11 119
2 12 119
1 13 119
1 14 119
2 15 119
2 1 120
2 2 120
1 3 120
2 4 120
2 5 120
3 6 120
2 7 120
2 8 120
2 9 120
1 10 120
1 11 120
1 12 120
2 13 120
2 14 120
2 15 120
3 1 121
0 2 121
0 3 121
2 4 121
0 5 121
1 6 121
2 7 121
1 8 121
2 9 121
1 10 121
1 11 121
1 12 121
0 13 121
0 14 121
0 15 121
3 1 122
3 2 122
3 3 122
2 4 122
3 5 122
2 6 122
1 7 122
2 8 122
1 9 122
1 10 122
1 11 122
2 12 122
1 13 122
0 14 122
1 15 122
1 1 123
1 2 123
0 3 123
1 4 123
0 5 123
1 6 123
0 7 123
0 8 123
0 9 123
0 10 123
0 11 123
1 12 123
1 13 123
1 14 123
1 15 123
5 1 124
3 2 124
3 3 124
3 4 124
2 5 124
3 6 124
4 7 124
5 8 124
2 9 124
4 10 124
5 11 124
6 12 124
3 13 124
4 14 124
2 15 124
2 1 125
1 2 125
0 3 125
3 4 125
3 5 125
0 6 125
2 7 125
1 8 125
3 9 125
2 10 125
2 11 125
2 12 125
2 13 125
3 14 125
2 15 125
3 1 126
4 2 126
3 3 126
4 4 126
3 5 126
0 6 126
4 7 126
1 8 126
2 9 126
3 10 126
0 11 126
2 12 126
0 13 126
0 14 126
2 15 126
0 1 127
0 2 127
0 3 127
0 4 127
1 5 127
1 6 127
1 7 127
0 8 127
0 9 127
2 10 127
2 11 127
0 12 127
0 13 127
0 14 127
0 15 127
